Alpha,degree,betweenness,closeness
0.0,0.031746031746031744,0.005291005291005291,1.0
0.06315789473684211,0.031746031746031744,0.005291005291005291,1.0
0.12631578947368421,0.010582010582010581,0.005291005291005291,1.0
0.18947368421052632,0.010582010582010581,0.005291005291005291,1.0
0.25263157894736843,0.005291005291005291,0.005291005291005291,1.0
0.3157894736842105,0.005291005291005291,0.005291005291005291,1.0
0.37894736842105264,0.005291005291005291,0.005291005291005291,1.0
0.4421052631578948,0.005291005291005291,0.005291005291005291,1.0
0.5052631578947369,0.005291005291005291,0.005291005291005291,1.0
0.5684210526315789,0.005291005291005291,0.005291005291005291,1.0
0.631578947368421,0.005291005291005291,0.005291005291005291,1.0
0.6947368421052632,0.005291005291005291,0.005291005291005291,1.0
0.7578947368421053,0.005291005291005291,0.005291005291005291,1.0
0.8210526315789474,0.005291005291005291,0.005291005291005291,0.005291005291005291
0.8842105263157896,0.005291005291005291,0.005291005291005291,0.005291005291005291
0.9473684210526316,0.005291005291005291,0.005291005291005291,0.005291005291005291
1.0105263157894737,0.005291005291005291,0.005291005291005291,0.005291005291005291
1.0736842105263158,0.005291005291005291,0.005291005291005291,0.005291005291005291
1.1368421052631579,0.005291005291005291,0.005291005291005291,0.005291005291005291
1.2,0.005291005291005291,0.005291005291005291,0.005291005291005291
